"Account ID","Engineering Review","Uptycs Investigating","Waiting On Customer","Pending Closure"
"-","0","0","1","0"
"0015G00001W7Bo7QAF","14","0","5","0"
"0015G00001W7mMGQAZ","5","0","1","0"
"0015G00001Xo6EfQAJ","1","0","0","1"
"0015G00001bvEEbQAM","1","0","0","0"
"0015G00001e4LZyQAM","3","0","4","0"
"0015G00001fp24DQAQ","1","0","0","0"
"0015G00001gUeHZQA0","1","0","0","0"
"0015G00001nrRwBQAU","0","0","1","0"
"0015G00001xhSMDQA2","12","5","6","0"
"0015G000020ROTQQA4","3","0","1","0"
"0015G000021jao5QAA","7","1","0","0"
"0015G00002CQ6vUQAT","1","0","0","0"
"0015G00002J0i5BQAR","0","0","1","0"
"0015G00002QzvZnQAJ","1","0","0","0"
"001f4000004Ai3zAAC","23","1","6","0"
"001f4000004Ai5HAAS","4","0","0","0"
"001f400000Fb4r5AAB","1","1","4","0"
"001f400000FdKuZAAV","12","4","6","5"
"001f400000cmDEvAAM","1","0","2","0"
"001f400000cmLP7AAM","7","0","0","0"
"001f400000rxt8AAAQ","6","0","0","0"
"001f400000tt9cvAAA","1","0","0","0"
"001f400000tt9doAAA","34","1","8","0"
"001f400000uh1hMAAQ","39","9","3","2"
"001f400000uihkNAAQ","1","0","0","0"
"001f400000xpY7eAAE","5","0","0","0"
"001f4000016cKpkAAE","4","1","1","0"
"001f400001BSOeeAAH","3","0","1","1"
"001f400001C8o5RAAR","1","0","0","0"
"001f400001F2PvFAAV","14","0","3","3"
"001f400001KxwCrAAJ","4","1","0","0"
"001f400001OLDVDAA5","4","0","0","0"
"001f400001PqnPWAAZ","19","2","2","0"
"001f400001SKYFtAAP","3","1","1","0"
