"Account ID","Ticket Id","Priority (Ticket)","Request Type","Status","Status Date","Ticket Age","Created Time","1st Status DateNTime","Ticket Owner","Modified Time","Subject","Ticket URL"
"-","4074","Urgent","Assistance Needed","Waiting on Customer","2023-09-26T16:50:00z","306:08:10","2023-09-26T13:24:00z","2023-09-26T16:23:00z","P Surya","2023-10-03T22:01:00z","osquery agent causing multi-stage incident","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000032680001"
"0015G00001W7Bo7QAF","3603","Medium","Feature Request","Engineering Review","2023-06-16T07:55:00z","2759:37:58","2023-06-16T07:55:00z","2023-06-16T07:55:00z","Nagulakonda Venkata Karthik","2023-10-06T04:58:00z","Search for asset in Assets & Insights by using usernames","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000027345001"
"0015G00001W7Bo7QAF","3610","Low","Feature Request","Engineering Review","2023-06-16T14:50:00z","2752:43:59","2023-06-16T14:49:00z","2023-06-16T14:50:00z","P Surya","2023-09-25T01:50:00z","Change destination link for hostnames on Investigate queries","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000027345201"
"0015G00001W7Bo7QAF","3923","Low","Assistance Needed","Waiting on Customer","2023-09-26T02:03:00z","975:59:14","2023-08-29T15:33:00z","2023-08-29T21:25:00z","Kadiri Mohan Kumar","2023-09-26T02:03:00z","Real-time query results seem to be incorrect","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000030975013"
"0015G00001W7Bo7QAF","3990","Medium","Assistance Needed","Engineering Review","2023-09-08T19:14:00z","732:22:36","2023-09-08T19:10:00z","2023-09-08T19:14:00z","Rohith Sudhir","2023-09-29T06:27:00z","Why does it appear that com.uptycs.kringle is doing a dns query to tunnel.cloudproxy.app","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000031685038"
"0015G00001W7Bo7QAF","3233","Medium","Feature Request","Engineering Review","2023-05-19T13:09:00z","4987:01:35","2023-03-15T12:31:00z","2023-03-15T12:32:00z","Nagulakonda Venkata Karthik","2023-09-29T10:38:00z","Dark Mode","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000022726011"
"0015G00001W7Bo7QAF","3919","High","Assistance Needed","Waiting on Customer","2023-10-03T11:15:00z","977:42:16","2023-08-29T13:50:00z","2023-08-29T15:56:00z","Sowjanya Yenduri","2023-10-03T11:15:00z","Uptycs IP range","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000030956001"
"0015G00001W7Bo7QAF","4045","Medium","Assistance Needed","Waiting on Customer","2023-09-25T08:13:00z","457:06:28","2023-09-20T06:26:00z","2023-09-20T06:26:00z","Nagulakonda Venkata Karthik","2023-10-05T09:57:00z","Disable ""New Alert"" popups","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000032351001"
"0015G00001W7Bo7QAF","3120","Medium","Feature Request","Waiting on Customer","2023-10-05T10:06:00z","5802:38:12","2023-02-09T11:54:00z","2023-02-09T11:58:00z","Sowjanya Yenduri","2023-10-05T10:06:00z","Disparity in shell history between Uptycs and Crowdstrike","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000021410001"
"0015G00001W7Bo7QAF","3526","Medium","Assistance Needed","Engineering Review","2023-05-24T14:11:00z","3305:24:21","2023-05-24T14:08:00z","2023-05-24T14:11:00z","Panchadi Sireesha","2023-10-06T12:53:00z","Flag profiles need icons indicating which os platforms they apply to","https://support.uptycs.com/support/uptycs/ShowHomePage.do#Cases/dv/565242000026225001"
